GEO Region,Price Category Code,Passenger Count
Mexico,Other,15
US,Other,114805
Europe,Other,6904
Asia,Other,6194
Europe,Other,6280
Canada,Other,8844
US,Other,35431
US,Other,7787
US,Other,27330
US,Low Fare,64725
US,Other,282
US,Other,18445
Australia / Oceania,Other,7032
US,Low Fare,26050
US,Other,72939
US,Low Fare,5856
US,Low Fare,718
Mexico,Other,9896
Europe,Other,9522
US,Other,389815
Europe,Other,15319
Mexico,Other,4135
Asia,Other,17645
US,Other,6
Middle East,Other,10383
US,Other,103161
US,Other,18
Asia,Other,7493
Asia,Other,8877
Canada,Other,78
Mexico,Other,21539
Asia,Other,1809
Europe,Other,21223
Canada,Other,9369
Asia,Other,62403
Asia,Other,9953
US,Other,54712
Mexico,Other,10049
Central America,Other,9550
US,Other,140620
Asia,Other,17581
US,Low Fare,157425
Mexico,Low Fare,3955
Canada,Other,16728
Central America,Other,5647
Mexico,Other,6025
Asia,Other,12518
Canada,Other,39241
Middle East,Other,9072
US,Other,56674
Canada,Other,10370
US,Other,12128
Asia,Other,17050
Asia,Other,17021
Australia / Oceania,Other,10050
Canada,Other,131
US,Low Fare,105770
US,Low Fare,124255
Europe,Other,6439
Europe,Other,13146
Canada,Other,1414
Canada,Other,1993
Europe,Other,11562
Mexico,Other,6259
US,Low Fare,13118
Canada,Other,2142
Europe,Other,17333
Mexico,Low Fare,1886
Europe,Other,1065
Europe,Other,8848
US,Other,115011
US,Other,1343
US,Low Fare,58773
Central America,Other,6237
US,Other,1962
Asia,Other,19129
US,Other,3159
US,Other,3846
US,Other,35845
Asia,Other,7662
Canada,Other,10497
Asia,Other,12607
US,Other,11585
Australia / Oceania,Other,7996
US,Low Fare,46569
Asia,Other,73642
Canada,Other,34090
US,Other,20045
US,Other,125536
Asia,Other,14995
Asia,Other,8801
Europe,Other,16529
US,Low Fare,5929
Asia,Other,9912
Mexico,Other,5877
Asia,Other,6140
Asia,Other,6213
Europe,Other,5221
Mexico,Other,6915
Europe,Other,30408
US,Other,18760
Mexico,Low Fare,3266
Canada,Other,19899
US,Other,22846
Europe,Other,1552
Asia,Other,10320
Central America,Other,4265
Europe,Other,13220
Asia,Other,9783
US,Low Fare,14850
Canada,Other,1329
Asia,Other,8440
US,Other,11443
US,Other,7024
US,Other,35898
Australia / Oceania,Other,7750
Mexico,Other,7751
US,Low Fare,106733
Europe,Other,2086
US,Other,6894
Asia,Other,6699
Canada,Other,12802
US,Other,102318
US,Other,47172
US,Low Fare,201263
Australia / Oceania,Other,7874
US,Other,86404
Mexico,Other,18917
US,Low Fare,107501
Canada,Other,12670
US,Low Fare,3578
Asia,Other,7620
Asia,Other,11548
Mexico,Other,4437
US,Low Fare,115483
US,Other,11510
US,Other,160352
Europe,Other,21318
Mexico,Other,8768
Mexico,Other,6433
Europe,Other,10651
Canada,Other,9613
Canada,Other,5288
Europe,Other,7483
US,Other,7882
Asia,Other,8994
Asia,Other,10029
Asia,Other,12715
US,Other,167183
Asia,Other,10956
Asia,Other,18568
Canada,Other,36847
US,Low Fare,130729
Europe,Other,9739
Asia,Other,16004
Asia,Other,10845
Canada,Other,2822
US,Other,42833
US,Low Fare,55529
Mexico,Other,5379
Canada,Other,3562
Central America,Other,5348
Canada,Other,10146
Asia,Other,5281
South America,Other,2598
Europe,Other,31
Australia / Oceania,Other,7850
US,Low Fare,4597
Asia,Other,9853
US,Other,6792
US,Low Fare,3563
Asia,Other,11025
Asia,Other,15095
US,Other,6314
US,Other,44508
US,Other,36577
Canada,Other,8022
Asia,Other,71731
US,Other,2644
US,Other,85963
Asia,Other,4535
US,Low Fare,144081
US,Other,7602
US,Other,3498
Asia,Other,53986
Europe,Other,23857
Australia / Oceania,Other,5997
Asia,Other,12949
US,Other,69067
Australia / Oceania,Other,8775
US,Low Fare,27
Asia,Other,6573
Canada,Other,12301
US,Other,80
Asia,Other,14447
US,Low Fare,15208
US,Other,5390
US,Other,180
Mexico,Other,6797
Europe,Other,4924
Europe,Other,14142
Europe,Other,6603
US,Other,118333
Asia,Other,11304
US,Other,345906
Europe,Other,8626
US,Other,21968
Canada,Other,417
US,Low Fare,134209
US,Low Fare,71587
Australia / Oceania,Other,8297
Europe,Other,9258
Europe,Other,9604
Asia,Other,6995
Europe,Other,18795
Canada,Other,26814
Canada,Other,1586
Canada,Other,11544
US,Low Fare,180570
Asia,Other,10697
Europe,Other,19492
Europe,Other,6144
US,Other,19672
US,Low Fare,5051
Canada,Other,9931
US,Other,7412
Asia,Other,7426
US,Other,14738
US,Other,359377
Asia,Other,8527
Asia,Other,13293
US,Other,50388
US,Low Fare,4873
Australia / Oceania,Other,7970
US,Low Fare,3849
Canada,Other,15326
Australia / Oceania,Other,1100
Europe,Other,3223
US,Other,37762
Asia,Other,14311
US,Other,24057
Asia,Other,10708
Asia,Other,11950
US,Low Fare,71018
Mexico,Other,4577
US,Low Fare,18292
Asia,Other,14610
US,Other,12605
Mexico,Other,3401
Asia,Other,7098
Asia,Other,15458
Mexico,Other,2927
Europe,Other,13319
US,Other,436976
Europe,Other,28355
US,Other,46159
Europe,Other,773
South America,Other,2467
Canada,Other,4450
US,Other,404838
Australia / Oceania,Other,3117
US,Other,64984
Europe,Other,13868
Europe,Other,6912
Canada,Other,13945
Central America,Other,5598
US,Other,22188
Central America,Other,4102
Asia,Other,11051
Canada,Other,30462
US,Low Fare,49604
Asia,Other,7975
US,Low Fare,2672
Canada,Other,839
Mexico,Other,14810
Canada,Other,5033
Canada,Other,4388
Asia,Other,22284
US,Other,295
Mexico,Other,4062
US,Other,100476
Asia,Other,8598
Europe,Other,14826
US,Low Fare,26305
Asia,Other,13638
Asia,Other,5231
US,Low Fare,148140
US,Low Fare,2170
US,Other,5214
Europe,Other,14202
US,Other,145690
Europe,Other,5693
Europe,Other,22661
Asia,Other,14014
Mexico,Other,132
Canada,Other,648
US,Other,3065
South America,Other,2954
US,Other,51379
US,Other,3763
Asia,Other,17817
Australia / Oceania,Low Fare,7131
US,Other,9855
Central America,Other,7551
Asia,Other,6705
Mexico,Other,36
Asia,Other,4964
Asia,Other,80353
US,Other,7564
Europe,Other,4529
Australia / Oceania,Other,6791
US,Other,23161
Europe,Other,2643
Europe,Other,460
US,Other,47222
Europe,Other,6009
Asia,Other,9192
Asia,Other,5619
US,Low Fare,13200
Asia,Other,19825
Asia,Other,64209
US,Other,1587
Canada,Other,9683
Mexico,Other,6626
US,Low Fare,231
US,Other,40497
Europe,Other,14502
Mexico,Other,5618
Australia / Oceania,Other,4165
Asia,Other,6805
Australia / Oceania,Other,9367
US,Low Fare,5503
Australia / Oceania,Other,9337
Central America,Other,5144
Europe,Other,9500
Asia,Other,3787
US,Other,264
Asia,Other,65505
Europe,Other,18980
US,Other,374046
US,Other,306070
Mexico,Other,24461
Australia / Oceania,Other,7106
US,Other,53450
Canada,Other,13399
Mexico,Other,13229
US,Other,217714
Asia,Other,12530
US,Other,3621
US,Low Fare,4094
Canada,Other,445
Canada,Other,13596
US,Other,15799
US,Other,44192
US,Other,4253
Canada,Other,6093
US,Other,21771
Europe,Other,7664
US,Low Fare,14313
Europe,Other,19171
US,Other,218696
US,Other,16510
Asia,Other,13639
Middle East,Other,11567
US,Low Fare,62
Asia,Other,9154
US,Low Fare,127740
Mexico,Other,12400
Middle East,Other,9836
Europe,Other,21385
Mexico,Other,1903
US,Other,2394
US,Other,378
US,Low Fare,164496
US,Other,133719
US,Other,4212
Canada,Other,522
US,Low Fare,126996
Asia,Other,10072
Europe,Other,3113
US,Low Fare,45968
Mexico,Other,8670
Mexico,Other,12134
Europe,Other,12379
Middle East,Other,10194
Canada,Other,1340
US,Low Fare,21242
Europe,Other,5516
US,Other,273176
Mexico,Other,279
Asia,Other,5275
Asia,Other,13980
Asia,Other,5496
Mexico,Other,7315
US,Other,4949
Europe,Other,22245
Canada,Other,5952
Europe,Other,48281
US,Other,25306
Canada,Other,6404
Asia,Other,10262
US,Low Fare,50841
Middle East,Other,7968
Mexico,Other,6173
US,Other,72443
Asia,Other,11923
Asia,Other,12131
Europe,Other,1878
Europe,Other,6208
Asia,Other,10238
US,Other,48659
Asia,Other,66206
US,Other,1781
US,Other,64907
US,Low Fare,20904
Canada,Other,18261
Central America,Other,5142
Canada,Other,4915
Asia,Other,21690
Europe,Other,10511
US,Low Fare,123246
Central America,Other,8549
Europe,Other,19972
Mexico,Other,7003
Central America,Other,5966
Asia,Other,13965
US,Low Fare,54378
US,Low Fare,29
Canada,Other,4666
Central America,Other,3529
Europe,Other,11412
Asia,Other,8310
US,Other,1285
Canada,Other,4101
Canada,Other,13416
Mexico,Low Fare,2894
Asia,Other,4264
Asia,Other,7717
Canada,Other,7586
Canada,Other,28887
Asia,Other,18519
US,Low Fare,4447
Australia / Oceania,Other,4509
US,Low Fare,3687
US,Other,73439
US,Other,123875
Europe,Other,3066
Australia / Oceania,Other,8209
Europe,Other,22859
Asia,Other,10838
Europe,Other,29641
US,Other,91413
Canada,Other,6869
US,Other,244672
US,Low Fare,14016
Europe,Other,274
US,Low Fare,66150
Canada,Other,8754
Asia,Other,47171
Europe,Other,1214
Asia,Other,63857
Canada,Low Fare,2759
Asia,Other,4032
Asia,Other,6766
US,Low Fare,143074
US,Low Fare,125743
US,Other,8496
Canada,Other,39203
Australia / Oceania,Other,1578
Canada,Other,64
Canada,Other,4340
US,Other,55
US,Other,2915
Asia,Other,10153
Europe,Other,2445
Europe,Other,4691
Canada,Other,13790
US,Other,236044
US,Low Fare,7886
Europe,Other,19319
Canada,Other,45306
Asia,Other,17168
US,Other,397549
US,Other,110731
US,Low Fare,84208
Canada,Other,3958
US,Other,15774
US,Low Fare,39035
US,Other,16746
US,Other,53587
Central America,Other,5102
Asia,Other,11922
Europe,Other,12962
US,Low Fare,14378
Canada,Other,7
Asia,Other,7515
Europe,Other,20264
Mexico,Other,2776
US,Low Fare,3636
Asia,Other,11509
US,Other,242484
Europe,Other,12707
Canada,Other,7450
Australia / Oceania,Other,5039
US,Low Fare,131273
Asia,Other,73041
Asia,Other,2
US,Other,1902
US,Other,240213
US,Other,105938
US,Other,7102
Australia / Oceania,Other,694
Asia,Other,5639
US,Other,9606
Canada,Other,13895
Canada,Other,12435
Middle East,Other,8799
Europe,Other,11911
Middle East,Other,8027
US,Other,13366
US,Other,110392
US,Other,164935
Mexico,Other,3954
Europe,Other,9904
Europe,Other,3666
US,Other,15460
Asia,Other,11561
Canada,Other,22955
Australia / Oceania,Other,4766
Europe,Other,16886
US,Other,160335
Europe,Other,3788
US,Other,491
Mexico,Other,6220
Asia,Other,5757
Middle East,Other,4609
Canada,Other,715
Asia,Other,859
US,Other,26098
US,Other,151547
US,Other,3995
Europe,Other,4884
Canada,Other,11778
Canada,Other,1758
US,Other,537
US,Other,22678
US,Other,3032
US,Other,6658
Asia,Other,10805
US,Other,51856
Mexico,Other,4208
Europe,Other,14198
US,Low Fare,33736
Asia,Other,12100
Asia,Other,13090
US,Other,99
US,Other,3473
US,Other,63270
US,Other,409190
US,Other,161049
Asia,Other,18869
US,Other,10974
Asia,Other,19599
Canada,Other,275
Canada,Other,15786
US,Other,5783
US,Other,257
US,Other,5641
Canada,Other,1261
US,Other,119799
Asia,Other,5955
Asia,Other,9189
Australia / Oceania,Other,8170
Australia / Oceania,Other,6474
Mexico,Low Fare,7173
Asia,Other,8723
Canada,Other,3754
US,Low Fare,36058
Europe,Other,30698
Asia,Other,22213
Mexico,Low Fare,917
Australia / Oceania,Other,1669
Mexico,Other,7952
Mexico,Other,7541
Canada,Other,26893
Europe,Other,21917
Australia / Oceania,Other,9497
Canada,Other,22519
Canada,Other,807
Asia,Other,8002
US,Other,61641
US,Other,128680
US,Other,69144
Asia,Other,216
US,Other,78131
US,Low Fare,28141
US,Low Fare,192017
Australia / Oceania,Other,8839
Europe,Other,3461
US,Low Fare,26633
Australia / Oceania,Other,7490
US,Other,421
Asia,Other,61382
Asia,Other,22482
US,Other,141611
Europe,Other,16230
Middle East,Other,9232
Mexico,Other,486
Europe,Other,10030
Europe,Other,5749
Europe,Other,7360
Mexico,Other,7629
Asia,Other,10032
US,Other,42279
Europe,Other,2364
Asia,Other,6228
Canada,Other,29409
Australia / Oceania,Other,4563
US,Low Fare,15267
Asia,Other,5121
Europe,Other,7213
US,Low Fare,131787
Asia,Other,8547
Europe,Other,12888
US,Low Fare,21591
Canada,Other,13028
US,Low Fare,4884
Australia / Oceania,Low Fare,40
Canada,Other,1326
Asia,Other,5253
Middle East,Other,9263
Mexico,Other,8789
Asia,Other,4954
Australia / Oceania,Other,4717
US,Low Fare,163193
Middle East,Other,9947
Europe,Other,12568
US,Other,1507
US,Other,3628
Europe,Other,11882
Asia,Other,19057
US,Other,47524
Australia / Oceania,Other,8126
Mexico,Other,2941
Europe,Other,11060
Asia,Other,11558
Asia,Other,3756
US,Low Fare,1930
Europe,Other,404
Central America,Other,4263
US,Low Fare,26
Asia,Other,16179
Europe,Other,9089
US,Other,110409
US,Other,7470
Mexico,Other,25241
US,Low Fare,13432
Asia,Other,6223
Europe,Other,4502
US,Other,169393
US,Other,1993
US,Other,4546
Mexico,Other,4823
Asia,Other,91684
US,Other,160720
Asia,Other,7233
Asia,Other,82017
Europe,Other,37103
Europe,Other,11274
US,Other,123172
Asia,Other,6053
Canada,Other,9601
US,Other,136
Canada,Other,14556
US,Other,4180
Middle East,Other,4990
Europe,Other,42776
US,Other,131
Canada,Other,8189
Canada,Other,10242
Asia,Other,9409
Central America,Other,6604
Europe,Other,10990
Europe,Other,18013
US,Other,9369
US,Other,16269
Europe,Other,7175
US,Low Fare,8600
Europe,Other,12823
Central America,Other,4240
Asia,Other,10572
Asia,Other,25104
US,Other,215689
US,Other,88975
