GEO Region,Price Category Code,Passenger Count,Operating Airline
Asia,Other,3381239,China Airlines
US,Low Fare,36992619,Virgin America
Canada,Other,3076783,SkyWest Airlines
US,Other,18,Boeing Company
US,Other,424692,American Eagle Airlines
Europe,Other,55994,Icelandair
Asia,Other,5099516,EVA Airways
Europe,Other,102020,French Bee
Asia,Other,12758165,United Airlines - Pre 07/01/2013
US,Other,14797062,US Airways
Europe,Other,2721,Swissport USA
US,Low Fare,70105,Spirit Airlines
Asia,Other,4964136,Singapore Airlines
Europe,Other,514,World Airways
US,Other,5551459,Northwest Airlines
Asia,Other,1168116,China Eastern
Mexico,Other,153955,ABC Aerolineas S.A. de C.V. dba Interjet
Asia,Other,2219283,All Nippon Airways
Europe,Other,6757143,Lufthansa German Airlines
Mexico,Other,2690095,Alaska Airlines
US,Low Fare,3210,Servisair
Asia,Other,714761,Northwest Airlines
US,Other,68,"Atlas Air, Inc"
Mexico,Low Fare,233571,Volaris Airlines
Asia,Other,3637077,Philippine Airlines
Asia,Other,527476,Air India Limited
Canada,Other,28,Miami Air International
US,Other,76811105,United Airlines - Pre 07/01/2013
US,Other,450428,Midwest Airlines
US,Other,47892,Atlantic Southeast Airlines
Europe,Other,41695,TAP Air Portugal
Australia / Oceania,Other,82885,French Bee
US,Low Fare,24269,Allegiant Air
Canada,Low Fare,991,ATA Airlines
US,Low Fare,4341656,United Airlines - Pre 07/01/2013
Mexico,Low Fare,15200,Sun Country Airlines
Asia,Low Fare,659,Air India Limited
Europe,Other,235155,Air Berlin
Asia,Other,4,Evergreen International Airlines
US,Other,3462190,Hawaiian Airlines
Asia,Other,11180167,United Airlines
Central America,Other,664456,"COPA Airlines, Inc."
Europe,Other,107667,Finnair
Middle East,Other,21775,El Al Israel Airlines LTD.
US,Other,48616038,American Airlines
Canada,Other,4119,Air Canada Jazz
Canada,Other,495206,Alaska Airlines
US,Other,3983830,Compass Airlines
Europe,Other,82735,Norwegian Air UK Ltd
Europe,Other,4285192,Air France
US,Other,117264859,United Airlines
Europe,Other,6122463,British Airways
US,Low Fare,63913,Independence Air
Europe,Other,952783,SAS Airlines
US,Low Fare,2019554,US Airways
US,Other,110,Ameriflight
Asia,Low Fare,58007,United Airlines - Pre 07/01/2013
Canada,Low Fare,1138,SkyWest Airlines
Asia,Other,2513618,Korean Air Lines
US,Low Fare,2388648,AirTran Airways
Central America,Other,62,United Airlines
Europe,Other,127722,Iberia
US,Other,180219,ExpressJet Airlines
Central America,Other,468,Swissport USA
Europe,Other,94696,Thomas Cook Airlines
Europe,Other,3580552,Virgin Atlantic
Asia,Low Fare,7678,Air China
Middle East,Other,395594,Etihad Airways
Mexico,Other,3490368,United Airlines
US,Low Fare,13235801,JetBlue Airways
Europe,Other,9138,BelAir Airlines
Middle East,Other,497580,United Airlines
US,Other,271,World Airways
Europe,Other,106887,Icelandair EHF
US,Low Fare,6434144,Frontier Airlines
Mexico,Other,727,Virgin America
Mexico,Other,2080678,Aeromexico
Europe,Other,160513,XL Airways France
Europe,Other,3427580,KLM Royal Dutch Airlines
US,Other,46603727,SkyWest Airlines
US,Other,1698,Swissport USA
Canada,Low Fare,40185,Virgin America
Australia / Oceania,Other,1401692,United Airlines
Europe,Other,320,Pacific Aviation
Middle East,Low Fare,9107,Emirates
Asia,Other,823601,China Southern
Asia,Other,2202302,Japan Airlines
US,Low Fare,1631215,Sun Country Airlines
Australia / Oceania,Other,2598676,Air New Zealand
Australia / Oceania,Other,1403536,Qantas Airways
US,Low Fare,37723074,Southwest Airlines
Australia / Oceania,Low Fare,50,Air Pacific Limited dba Fiji Airways
Europe,Low Fare,32,Servisair
Canada,Other,2580177,United Airlines - Pre 07/01/2013
US,Low Fare,412,Trego Dugan Aviation
Asia,Other,2199967,Asiana Airlines
Asia,Other,216,Swissport USA
US,Other,1690,Miami Air International
Central America,Other,1835161,TACA
Mexico,Low Fare,4797,United Airlines - Pre 07/01/2013
Asia,Other,68485,Jet Airways
Europe,Low Fare,19368,WOW Air
Europe,Other,5072061,United Airlines - Pre 07/01/2013
US,Other,434184,Mesa Airlines
US,Low Fare,300734,Delta Air Lines
Europe,Other,958353,Turkish Airlines
US,Other,126048,Mesaba Airlines
US,Other,39688927,Delta Air Lines
US,Other,146,Xtra Airways
US,Other,22042189,Alaska Airlines
Europe,Other,340441,WOW Air
Europe,Other,31354,Air Italy S.P.A
Canada,Other,1010069,WestJet Airlines
Mexico,Other,991232,Mexicana Airlines
Mexico,Other,2104015,United Airlines - Pre 07/01/2013
US,Other,58860,Republic Airlines
Australia / Oceania,Low Fare,7188,Air New Zealand
Europe,Other,1550774,Swiss International
Australia / Oceania,Other,145112,Air Pacific Limited dba Fiji Airways
Asia,Other,6219156,Cathay Pacific
Middle East,Other,2690128,Emirates
US,Low Fare,383773,ATA Airlines
Europe,Other,5218940,United Airlines
Canada,Other,10057375,Air Canada
Mexico,Low Fare,810389,Virgin America
Europe,Other,1005226,Aer Lingus
Asia,Other,498241,Delta Air Lines
Asia,Other,176582,Hong Kong Airlines Limited
Canada,Other,395067,Jazz Aviation
Canada,Other,2437970,United Airlines
US,Other,1648089,Horizon Air
South America,Other,250741,LAN Peru
Asia,Other,2569468,Air China
South America,Other,81,United Airlines
Australia / Oceania,Other,1633934,United Airlines - Pre 07/01/2013
