Activity Period,Passenger Count,GEO Region
201905,3007,Australia / Oceania
201908,13601,Canada
201904,9631,Europe
201909,12290,US
201906,149170,US
201905,140911,US
201901,4704,Europe
201906,1034,Australia / Oceania
201909,4758,US
201901,1293,Europe
201904,25280,Mexico
201905,15179,Asia
201907,360,Australia / Oceania
201907,4187,Europe
201901,3967,US
201904,47216,Europe
201904,2275,Europe
201903,5522,Mexico
201908,46,Canada
201909,6308,Australia / Oceania
201908,136628,US
201903,8875,Europe
201906,368,US
201908,3825,Europe
201905,1407,Europe
201909,2648,Australia / Oceania
201903,8498,Asia
201903,12849,Asia
201902,490,US
201905,7234,Asia
201906,7415,Central America
201908,8290,Europe
201904,15225,Asia
201909,3219,Europe
201901,6947,US
201907,42044,US
201902,4092,US
201909,12008,Middle East
201904,11055,Asia
201901,7956,Europe
201908,613077,US
201909,3443,Europe
201901,218037,US
201904,25484,Asia
201908,217,Canada
201908,13241,Canada
201908,18805,Canada
201901,7259,Central America
201909,7,Canada
201908,21441,Europe
201909,7503,US
201901,1634,Mexico
201905,9064,Europe
201901,8915,Australia / Oceania
201908,15964,US
201906,3625,Europe
201909,7144,Central America
201909,2243,Europe
201905,8167,Asia
201907,19354,Canada
201904,8421,Europe
201907,15298,Asia
201909,17342,Canada
201905,12961,Mexico
201904,432,Asia
201906,3178,Europe
201906,1129,Europe
201901,12570,Middle East
201907,9796,Europe
201904,9192,Canada
201901,371740,US
201907,21690,Asia
201902,13530,US
201906,4022,Europe
201909,182,Australia / Oceania
201907,300,Canada
201908,24798,Canada
201903,134609,US
201902,11916,Asia
201907,381,US
201903,16289,Australia / Oceania
201908,17293,Asia
201907,10165,Middle East
201908,15534,US
201907,6846,Europe
201909,440,US
201904,15,US
201903,2190,US
201905,4577,Mexico
201909,18125,Europe
201903,9016,Asia
201904,31391,Canada
201904,5166,Asia
201907,7707,Europe
201906,13464,Asia
201905,245882,US
201903,15160,Asia
201909,7139,Central America
201907,7586,Middle East
201904,239,Australia / Oceania
201908,532,Australia / Oceania
201901,6864,Asia
201902,5425,Asia
201902,132072,US
201907,5587,Europe
201905,2983,Canada
201906,1336,US
201903,14982,Mexico
201908,99811,Asia
201905,16804,Asia
201909,2206,Middle East
201909,9004,Asia
201906,30575,Mexico
201909,231382,US
201903,926,US
201909,8467,Middle East
201908,2454,US
201902,3947,Canada
201904,21870,Europe
201909,1029,Australia / Oceania
201908,26462,US
201903,6995,Asia
201902,3922,US
201906,4374,Europe
201902,16529,Europe
201908,7908,Central America
201902,9452,Asia
201903,3262,Canada
201906,63866,US
201908,24009,Europe
201907,315,Australia / Oceania
201908,15378,US
201903,8263,US
201907,4728,Europe
201908,7359,Europe
201902,8217,Asia
201904,12249,Asia
201905,5247,Canada
201909,7453,US
201903,172593,US
201901,30587,Europe
201903,323,Asia
201908,266144,US
201903,20090,Europe
201909,1464,Europe
201904,19525,Europe
201903,81,US
201903,7850,Australia / Oceania
201901,10502,Asia
201907,2555,Europe
201902,30400,Canada
201906,5571,Mexico
201906,15737,Europe
201904,11389,Europe
201904,12797,Asia
201907,14634,Europe
201908,4037,Europe
201901,812,US
201902,129509,US
201904,232529,US
201904,14105,Mexico
201906,9168,Europe
201908,14905,Mexico
201906,268,US
201906,5382,Europe
201909,286,Australia / Oceania
201907,264850,US
201909,324,US
201905,2148,Australia / Oceania
201904,437,Europe
201905,19984,Europe
201906,8819,Canada
201901,14795,Middle East
201906,6920,Europe
201909,9652,Europe
201902,270,Asia
201905,24421,Mexico
201903,36248,Canada
201905,1578,Europe
201909,6792,Europe
201902,178,US
201902,14530,Europe
201906,225,Middle East
201902,1336,Europe
201906,16464,US
201909,2767,Australia / Oceania
201902,9671,Europe
201906,16533,Asia
201907,24255,Europe
201905,5295,Asia
201908,46657,US
201906,572,Australia / Oceania
201909,8093,Asia
201902,7670,Europe
201905,1813,Asia
201902,7816,Europe
201901,14362,Europe
201907,7532,Mexico
201906,8762,Europe
201906,6763,Australia / Oceania
201901,2127,Europe
201903,7724,Central America
201908,6070,Mexico
201908,3066,Australia / Oceania
201902,7460,US
201908,10502,Asia
201903,8990,Australia / Oceania
201906,38900,US
201908,233499,US
201905,11213,US
201907,21748,Europe
201901,10064,Europe
201906,22110,Europe
201906,1048,Europe
201908,9743,Europe
201909,8555,Europe
201902,7273,Europe
201907,842,Europe
201901,10406,Mexico
201907,21603,US
201901,16069,Asia
201902,4548,US
201904,4320,US
201909,4874,Europe
201902,32046,Canada
201905,8927,Asia
201909,100,Canada
201908,64041,Europe
201909,12357,Australia / Oceania
201909,14288,Canada
201906,10180,Europe
201904,8768,Mexico
201909,7946,Mexico
201903,319,Europe
201901,26237,Mexico
201908,13535,Australia / Oceania
201902,752,US
201905,21093,US
201901,5661,Asia
201901,16046,US
201906,144785,US
201901,10062,Central America
201903,7318,Europe
201905,195354,US
201909,6350,Asia
201905,145527,US
201905,469,US
201903,309,US
201908,13045,Europe
201905,1180,US
201901,358249,US
201905,10910,Canada
201909,110,Canada
201906,955,US
201907,66961,Europe
201906,23234,Canada
201907,4378,Europe
201901,14767,Mexico
201908,335620,US
201902,7935,Asia
201904,20393,US
201905,21310,Asia
201908,16801,Europe
201908,14653,Asia
201902,11020,Mexico
201902,6008,Middle East
201904,34783,US
201903,8981,Asia
201907,14320,Middle East
201904,20828,Asia
201904,6853,US
201906,1059,US
201904,6624,Asia
201905,37228,Canada
201908,5998,Australia / Oceania
201902,1937,Europe
201906,8968,Central America
201909,12224,Asia
201904,7287,Europe
201909,41678,Canada
201907,43383,US
201904,8,US
201909,365,Europe
201902,1039,Australia / Oceania
201903,9883,Canada
201902,2910,Canada
201907,9464,Asia
201903,9425,Mexico
201901,8285,Asia
201906,15440,Asia
201907,4579,Europe
201909,5890,Canada
201906,3776,Australia / Oceania
201907,1110,US
201908,606402,US
201907,21310,US
201905,14617,Asia
201904,11395,Europe
201909,18637,Europe
201905,11466,Europe
201907,343,Europe
201907,3860,Europe
201901,8667,Asia
201902,26018,Europe
201907,9714,US
201903,4049,Asia
201904,13465,Asia
201909,2187,Middle East
201908,14271,Canada
201909,9235,US
201901,11146,Australia / Oceania
201903,9549,Asia
201905,62629,US
201903,11732,Middle East
201905,18795,Europe
201907,3332,Australia / Oceania
201904,348,Canada
201906,25543,US
201909,1222,Mexico
201906,9158,Asia
201909,9448,Europe
201904,7999,Middle East
201903,6448,Asia
201906,149120,US
201902,4230,Mexico
201906,16575,Europe
201904,86880,Asia
201907,111052,US
201903,8750,Europe
201903,9582,US
201901,16577,Europe
201904,5398,Australia / Oceania
201908,88,US
201905,9804,Europe
201907,3423,Middle East
201903,12788,Asia
201906,16004,US
201903,12647,US
201902,13035,Asia
201906,19956,Asia
201906,9500,Europe
201902,2118,Europe
201907,19960,Europe
201908,3704,Europe
201907,8731,Central America
201907,10724,Asia
201904,13442,Australia / Oceania
201909,6037,Asia
201903,16902,Europe
201905,9377,US
201904,133680,US
201905,3026,Australia / Oceania
201902,53774,US
201906,8386,Asia
201904,1373,Europe
201907,4011,Europe
201909,110397,US
201908,10531,Europe
201904,59613,US
201909,19247,Europe
201908,27063,US
201908,16773,Asia
201902,986,Australia / Oceania
201908,87652,Asia
201909,18261,US
201904,7832,Canada
201902,107501,US
201905,1308,Middle East
201902,27817,US
201906,56322,Europe
201905,33462,Canada
201905,914,Australia / Oceania
201906,1027,Canada
201903,18534,US
201906,1390,Australia / Oceania
201903,4166,US
201908,2865,Australia / Oceania
201902,5639,Asia
201903,8549,Europe
201904,8588,Canada
201904,14296,US
201901,115400,US
201906,719,Europe
201908,4802,Europe
201905,4231,US
201906,16236,Mexico
201907,8768,Asia
201902,109460,US
201906,24479,Asia
201903,1581,Europe
201903,166121,US
201904,12110,Australia / Oceania
201909,6423,Asia
201909,9954,Europe
201907,16925,Asia
201907,236044,US
201901,10691,US
201903,8825,Europe
201907,85702,Asia
201908,14607,Middle East
201909,2,US
201908,12088,Asia
201908,11097,Asia
201905,5551,Europe
201904,7944,Canada
201909,10933,Asia
201903,10559,Australia / Oceania
201902,205642,US
201901,1272,Australia / Oceania
201906,368,Asia
201901,4080,US
201907,9157,US
201902,7193,Asia
201906,21968,US
201902,5103,Europe
201904,13124,Mexico
201906,9314,Middle East
201906,16127,Canada
201906,21763,US
201907,5954,Asia
201902,13030,Middle East
201909,6864,Europe
201901,1473,Australia / Oceania
201902,8744,Mexico
201904,14207,US
201902,6299,Central America
201905,4441,US
201904,207,Australia / Oceania
201906,24937,Asia
201901,11443,US
201901,11773,Asia
201903,2809,Mexico
201905,393,Europe
201908,6640,Central America
201903,2486,Europe
201906,17580,Asia
201906,8460,Central America
201906,7031,Asia
201907,18105,US
201909,8038,Middle East
201906,9728,Asia
201908,63203,US
201901,7071,Mexico
201901,14259,US
201908,20368,Europe
201901,9366,Europe
201901,139371,US
201908,6149,Europe
201901,11607,US
201907,5485,Mexico
201907,16243,Asia
201908,2899,Middle East
201904,33437,US
201907,669,Australia / Oceania
201909,10617,Australia / Oceania
201901,13362,US
201907,3589,Asia
201903,10525,Asia
201909,21961,Europe
201905,8080,Central America
201904,6776,Europe
201902,8562,Canada
201905,10422,US
201904,14419,Middle East
201906,10779,US
201905,22995,Asia
201905,7763,Europe
201904,14252,US
201908,7221,Asia
201903,78682,Asia
201906,2498,Europe
201901,4781,Canada
201903,143,Europe
201907,140717,US
201905,6683,Europe
201905,137077,US
201907,44187,US
201909,109191,US
201903,24831,Asia
201907,21156,Europe
201902,11865,US
201906,21008,Europe
201907,7982,Central America
201904,59891,US
201907,219,Asia
201903,34895,US
201906,270298,US
201908,8957,Asia
201901,9490,Asia
201908,236522,US
201908,16514,Asia
201905,21318,Europe
201904,286240,US
201908,5172,Asia
201909,13172,Europe
201905,4727,Canada
201902,1379,Australia / Oceania
201908,4754,Mexico
201902,5079,Europe
201908,61030,US
201903,418869,US
201903,9091,Asia
201904,3174,Australia / Oceania
201906,4454,Europe
201908,19654,Canada
201906,871,US
201904,19852,Europe
201907,153831,US
201907,9153,Mexico
201907,18864,US
201902,66656,Asia
201905,20775,Europe
201906,3630,Europe
201903,10143,Asia
201904,6572,Asia
201903,3363,Canada
201903,12592,Mexico
201909,40319,US
201907,322605,US
201906,439,Canada
201903,24404,Asia
201904,5421,Europe
201906,3959,Europe
201901,17635,US
201904,12079,Canada
201903,9912,Asia
201903,1314,Australia / Oceania
201907,43564,US
201903,5264,Mexico
201904,4147,US
201904,1564,Europe
201907,1088,Australia / Oceania
201904,9027,Asia
201905,1415,Australia / Oceania
201906,1415,Middle East
201901,5661,US
201905,1659,Europe
201902,10214,Asia
201906,22383,Europe
201906,1214,Europe
201909,44757,Canada
201902,9168,Asia
201905,280,Australia / Oceania
201902,7832,Asia
201902,1420,Australia / Oceania
201902,107714,US
201909,2364,Europe
201902,5502,Europe
201908,16634,Europe
201902,325275,US
201904,147,Europe
201907,16680,US
201909,10633,Canada
201907,10351,Asia
201904,95,US
201905,5694,Mexico
201907,7517,Europe
201907,18135,Canada
201905,485680,US
201906,5964,Europe
201905,9629,Asia
201905,20466,US
201905,346,US
201909,6898,Europe
201901,2830,Australia / Oceania
201905,14289,Canada
201906,107,US
201906,398,Australia / Oceania
201905,7438,Central America
201909,61340,Europe
201909,9322,Asia
201904,10382,Australia / Oceania
201909,7353,Mexico
201907,261,Canada
201908,397,Canada
201903,63072,US
201907,100121,Asia
201907,13102,Asia
201908,3819,Australia / Oceania
201907,18768,Mexico
201901,1328,Australia / Oceania
201906,11978,Australia / Oceania
201901,16589,Asia
201905,15173,US
201907,330683,US
201907,14906,Middle East
201907,14325,US
201903,30313,US
201906,7993,US
201909,4527,Asia
201909,4543,US
201906,1661,Europe
201906,296899,US
201909,7207,Europe
201902,611,Asia
201906,21786,Europe
201908,8721,Europe
201909,2336,Europe
201906,61726,US
201903,82536,Asia
201902,4509,Europe
201909,7401,Asia
201901,228102,US
201903,344,Australia / Oceania
201904,7103,Central America
201905,4889,Europe
201906,14967,US
201907,7643,Asia
201906,102,Europe
201902,13717,Asia
201903,9381,Mexico
201904,9386,Asia
201909,154,US
201901,9361,Asia
201908,1499,Europe
201902,27671,Europe
201903,10588,US
201904,451468,US
201905,196037,US
201907,8428,Europe
201908,21783,US
201907,56803,Canada
201902,7796,Central America
201906,4,US
201901,12066,US
201908,6951,Central America
201908,7081,Asia
201901,3,Canada
201901,2092,Mexico
201906,971,US
201905,4752,US
201909,421500,US
201901,49,US
201907,154803,US
201903,131741,US
201907,3291,Australia / Oceania
201907,259940,US
201907,473,Canada
201908,49165,US
201901,28433,Europe
201908,5077,Europe
201901,14122,Asia
201901,8161,US
201901,91684,Asia
201908,9373,Mexico
201901,30462,Asia
201904,9300,Asia
201904,495,US
201906,2396,Australia / Oceania
201906,10149,Middle East
201905,11802,Australia / Oceania
201904,18640,Asia
201904,4562,Europe
201905,8017,Asia
201905,16418,Asia
201907,4066,Europe
201904,151108,US
201905,8435,Europe
201907,7851,US
201904,5423,Europe
201904,8477,Asia
201905,378,US
201905,17301,Mexico
201903,34293,Europe
201908,647,Europe
201902,7221,Europe
201904,171551,US
201904,2783,Mexico
201905,148902,US
201908,331,Asia
201909,55529,US
201909,14197,Asia
201901,3475,US
201906,23513,Europe
201903,162259,US
201905,257574,US
201903,6710,Asia
201905,25437,Asia
201902,8,US
201903,4007,US
201905,11239,Canada
201903,3488,Europe
201906,532017,US
201901,4351,US
201904,15374,US
201904,5397,Canada
201903,6923,Central America
201905,4156,Europe
201908,8817,Asia
201902,8080,Asia
201903,270,US
201904,127350,US
201905,8255,Canada
201905,582,Australia / Oceania
201907,551488,US
201903,12172,Europe
201907,19908,Asia
201909,6615,Europe
201909,6563,Asia
201905,2328,Europe
201905,2210,Mexico
201909,132087,US
201906,21637,Mexico
201903,2316,US
201906,8904,Europe
201905,12424,Middle East
201905,56220,Europe
201907,7138,Europe
201907,164144,US
201907,13368,Australia / Oceania
201908,669,Australia / Oceania
201905,368,Asia
201902,2008,US
201902,155,Canada
201904,1446,Europe
201904,6458,US
201907,24710,Europe
201907,52327,Europe
201902,10384,US
201907,3207,Australia / Oceania
201907,9591,Europe
201906,10698,Asia
201908,24778,Asia
201906,217714,US
201908,6787,US
201901,28970,Asia
201903,34976,Canada
201908,24513,Europe
201906,1108,Asia
201909,202,US
201901,4684,Canada
201907,21851,Mexico
201906,6894,Europe
201902,10548,US
201906,6444,Australia / Oceania
201904,72581,Asia
201909,35221,US
201909,3637,Europe
201906,6487,Mexico
201907,14161,Canada
201903,7105,Asia
201905,452,Europe
201906,12179,Canada
201909,3605,Europe
201905,13561,Australia / Oceania
201902,3798,Canada
201904,4265,Asia
201901,10466,Asia
201901,718,US
201903,557,Canada
201902,15561,Europe
201905,14390,Asia
201901,55634,US
201906,1308,Middle East
201909,5068,Asia
201901,1572,Mexico
201906,6906,Asia
201903,7717,Asia
201904,6306,Asia
201901,2369,Australia / Oceania
201908,146,US
201908,505,Canada
201905,5877,Europe
201906,158096,US
201908,7578,Asia
201908,3488,Mexico
201909,23221,US
201901,137752,US
201908,3576,Europe
201906,35082,US
201909,13569,Middle East
201909,5154,Mexico
201902,6450,Australia / Oceania
201908,9947,US
201905,5927,Australia / Oceania
201909,8103,Asia
201902,26310,US
201901,9006,Asia
201904,31144,Canada
201909,8695,Asia
